"Vertrouwen in mensen, recht en politiek; Europese vergelijking"
"";"";"Onderwerpen";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in"
"";"";"Onderwerpen";"Andere mensen";"Rechtssysteem";"Politie";"Politici";"Parlement";"Politieke partijen";"Europees Parlement";"Verenigde Naties"
"Persoonskenmerken";"Land";"Perioden";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore"
"Totaal personen";"Zweden";"2002";"6.1";"6.1";"6.8";"4.7";"5.9";".";"4.0";"6.6"
"Totaal personen";"Zweden";"2004";"6.1";"5.8";"6.5";"4.2";"5.4";"4.4";"4.0";"6.3"
"Totaal personen";"Zweden";"2006";"6.3";"6.0";"6.5";"4.5";"5.6";"3.2";"5.0";"5.1"
"Totaal personen";"Zweden";"2008";"6.4";"6.1";"6.6";"4.6";"5.7";"4.8";"4.7";"6.4"
"Totaal personen";"Zweden";"2010";"6.3";"6.5";"7.0";"5.0";"6.3";"5.1";"5.0";"6.3"
"Totaal personen";"Zweden";"2012";"6.0";"6.3";"6.7";"4.7";"5.9";"4.9";"4.7";"6.3"
"Totaal personen";"Zweden";"2014*";"6.2";"6.4";"6.9";"5.0";"6.2";"5.1";"4.7";"6.4"
"Totaal personen";"Zwitserland";"2002";"5.6";"6.2";"6.8";"4.9";"5.8";".";"4.8";"5.4"
"Totaal personen";"Zwitserland";"2004";"5.7";"6.1";"6.9";"4.8";"5.5";"4.6";"4.6";"5.4"
"Totaal personen";"Zwitserland";"2006";"5.7";"6.2";"6.9";"4.9";"5.8";"3.6";"5.1";"5.3"
"Totaal personen";"Zwitserland";"2008";"5.7";"6.4";"6.9";"4.9";"5.8";"4.7";"4.8";"5.6"
"Totaal personen";"Zwitserland";"2010";"5.6";"6.3";"7.0";"5.0";"5.8";"4.8";"4.6";"5.3"
"Totaal personen";"Zwitserland";"2012";"5.7";"6.5";"7.2";"5.2";"6.1";"5.0";"4.7";"5.5"
"Totaal personen";"Zwitserland";"2014*";"5.7";"6.6";"7.2";"5.2";"6.2";"5.1";"4.5";"5.4"
